# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
8.554509018036072776e-01,8.840811814622341336e-01,-2.468044167322851201e-02
8.594388777555110881e-01,8.829699884299396784e-01,-2.485319451270395774e-02
8.634268537074148986e-01,8.818535559745378505e-01,-2.502572665205736804e-02
8.674148296593187091e-01,8.807318972799582646e-01,-2.519802523903979380e-02
8.714028056112225196e-01,8.796050260118384312e-01,-2.537007737989970327e-02
8.753907815631263301e-01,8.784729563281854503e-01,-2.554187013866416819e-02
8.793787575150301405e-01,8.773357028899612109e-01,-2.571339053633341087e-02
8.833667334669339510e-01,8.761932808723860155e-01,-2.588462555006305205e-02
8.873547094188377615e-01,8.750457059760333722e-01,-2.605556211223571464e-02
8.913426853707415720e-01,8.738929944385743775e-01,-2.622618710951845483e-02
8.953306613226453825e-01,8.727351630464889043e-01,-2.639648738179916146e-02
8.993186372745491930e-01,8.715722291473991801e-01,-2.656644972112912062e-02
9.033066132264530035e-01,8.704042106623132158e-01,-2.673606087050438979e-02
9.072945891783568140e-01,8.692311260985084997e-01,-2.690530752265286873e-02
9.112825651302606245e-01,8.680529945626364041e-01,-2.707417631870152191e-02
9.152705410821644350e-01,8.668698357740316496e-01,-2.724265384676981608e-02
9.192585170340682454e-01,8.656816700784318863e-01,-2.741072664047406252e-02
9.232464929859720559e-01,8.644885184621500240e-01,-2.757838117736085420e-02
9.272344689378758664e-01,8.632904025664693837e-01,-2.774560387723456686e-02
9.312224448897796769e-01,8.620873447023776892e-01,-2.791238110037743553e-02
9.352104208416834874e-01,8.608793678658064330e-01,-2.807869914569312633e-02
9.391983967935872979e-01,8.596664957532758056e-01,-2.824454424874267566e-02
9.431863727454911084e-01,8.584487527777030502e-01,-2.840990257963256493e-02
9.471743486973948079e-01,8.572261640849494491e-01,-2.857476024084936242e-02
9.511623246492986183e-01,8.559987555705935725e-01,-2.873910326492094824e-02
9.551503006012024288e-01,8.547665538970853349e-01,-2.890291761196054840e-02
9.591382765531062393e-01,8.535295865116788727e-01,-2.906618916712471606e-02
9.631262525050100498e-01,8.522878816644692268e-01,-2.922890373786981091e-02
9.671142284569138603e-01,8.510414684271706554e-01,-2.939104705111220128e-02
9.711022044088176708e-01,8.497903767122340080e-01,-2.955260475020352398e-02
9.750901803607214813e-01,8.485346372926174663e-01,-2.971356239177322042e-02
9.790781563126252918e-01,8.472742818220372341e-01,-2.987390544240077148e-02
9.830661322645291023e-01,8.460093428557547979e-01,-3.003361927510166118e-02
9.870541082164329127e-01,8.447398538720074512e-01,-3.019268916565167465e-02
9.910420841683367232e-01,8.434658492939304253e-01,-3.035110028869767579e-02
9.950300601202405337e-01,8.421873645122359697e-01,-3.050883771370150113e-02
9.990180360721443442e-01,8.409044359084434372e-01,-3.066588640065123425e-02
1.003006012024048044e+00,8.396171008787137735e-01,-3.082223119554770158e-02
1.006993987975951965e+00,8.383253978585598620e-01,-3.097785682570225463e-02
1.010981963927855887e+00,8.370293663480147250e-01,-3.113274789474104395e-02
1.014969939879759586e+00,8.357290469377859354e-01,-3.128688887740180280e-02
1.018957915831663508e+00,8.344244813359456003e-01,-3.144026411404179933e-02
1.022945891783567207e+00,8.331157123956315358e-01,-3.159285780489033690e-02
1.026933867735471129e+00,8.318027841433083269e-01,-3.174465400397148696e-02
1.030921843687374828e+00,8.304857418081039722e-01,-3.189563661276927781e-02
1.034909819639278528e+00,8.291646318519549919e-01,-3.204578937354916890e-02
1.038897795591182449e+00,8.278395020005379079e-01,-3.219509586233046394e-02
1.042885771543086149e+00,8.265104012753374807e-01,-3.234353948152911967e-02
1.046873747494990070e+00,8.251773800265806980e-01,-3.249110345222271795e-02
1.050861723446893770e+00,8.238404899671928350e-01,-3.263777080600911012e-02
1.054849699398797691e+00,8.224997842078443089e-01,-3.278352437647888418e-02
1.058837675350701391e+00,8.211553172930783351e-01,-3.292834679023413230e-02
1.062825651302605312e+00,8.198071452385947699e-01,-3.307222045747395395e-02
1.066813627254509012e+00,8.184553255696062068e-01,-3.321512756206750766e-02
1.070801603206412933e+00,8.170999173606797727e-01,-3.335705005118431987e-02
1.074789579158316633e+00,8.157409812765221702e-01,-3.349796962431841885e-02
1.078777555110220554e+00,8.143785796143615530e-01,-3.363786772181838469e-02
1.082765531062124253e+00,8.130127763475770708e-01,-3.377672551279840840e-02
1.086753507014028175e+00,8.116436371708185549e-01,-3.391452388243491878e-02
1.090741482965931874e+00,8.102712295465376302e-01,-3.405124341860806675e-02
1.094729458917835796e+00,8.088956227532075882e-01,-3.418686439786752101e-02
1.098717434869739495e+00,8.075168879350459461e-01,-3.432136677065745350e-02
1.102705410821643417e+00,8.061350981534755045e-01,-3.445473014578458865e-02
1.106693386773547116e+00,8.047503284403094703e-01,-3.458693377406722030e-02
1.110681362725451038e+00,8.033626558528171868e-01,-3.471795653114715524e-02
1.114669338677354737e+00,8.019721595306267270e-01,-3.484777689938513279e-02
1.118657314629258659e+00,8.005789207546576414e-01,-3.497637294880807934e-02
1.122645290581162358e+00,7.991830230081019559e-01,-3.510372231705258250e-02
1.126633266533066280e+00,7.977845520395865364e-01,-3.522980218824400822e-02
